#变体	本体	本体词词频（可省略）
兴高彩列	兴高采烈	100
吹唐人	吹糖人	100
百年家具	百年家居
感在	改在
有孔	有空
吃葚么	吃什么
西欢	喜欢
泰泰	太太
词反	吃饭
其末考	期末考
台湾采	台湾菜
他们的采	他们的菜
设么	什么
共喜	恭喜
日本蔡	日本菜
餐订	餐厅
公课	功课
大们口	大门口
有没有控	有没有空
刘信	留信
六根礼拜日	六跟礼拜日
永敢	勇敢
辛亏	幸亏
估停站	古亭站
异子	椅子
胡涂	糊涂
真巧呕	真巧喔
奴生	女生
好朋有	好朋友
莫斯汉堡	摩斯汉堡
不可望	不可忘
中文壳	中文课
棒他	帮他
怎嚜走	怎么走
吃凉	吃惊
冈来	刚来
勇敢得	勇敢地
风友	朋友
走天	昨天
湖涂	糊涂
怎嚜	怎么
真得	值得
哪理	哪里
票亮	漂亮
又高又受	又高又瘦
化了半个小时	花了半个小时
杆快	赶快
学习的很愉快	学习得很愉快
怎吗	怎么
十子路口	十字路口
开方	开放
息缓	喜欢
交相机	照相机
请办我	请帮我
爬上	爬山
录色	绿色
各我妈妈	给我妈妈
交马上停车	叫马上停车
米了	迷了
交到了	就到了
号吗	号码
很葬	很脏
换给	还给
清流	请留
名子	名字
把输给弄丢	把书给弄丢
播爱	博爱
大搂	大楼
逃论室	讨论室
坻里	地理
奇给我	寄给我
座飞机	坐飞机
再机场	在机场
便很帅	变很帅
腾她	等她
路行	旅行
梅天	每天
她九打电话	她就打电话
美邦法	没办法
不好以时	不好意思
有疑点藤	有一点疼
里拜四	礼拜四
李佬时	李老师
工课	功课
身提	身体
可使	可是
靠事	考试
重要得东西	重要的东西
寮解	了解
情你	请你
而截	而且
昭显机	照相机
够猫	狗猫
最有名的采	最有名的菜
波澜	波兰
西办加话	西班牙话
东四	东西
台弯	台湾
学子	学字
银董	运动
而接	而且
有控	有空
陆行	旅行
忍识	认识
式式看	试试看
拨兰	波兰
一支狗	一只狗
管哩	管理
将学金	奖学金
再波兰	在波兰
下了可	下了课
回越南得时候	回越南的时候
台湾得风景	台湾的风景
朋有	朋友
气个月	七个月
从德国莱	从德国来
文花	文化
吃部下	吃不下
清假	请假
烤试	考试
血绿	血缘
我票告诉您	我要告诉您
候天	后天
惜来看	借来看
上果	上课
吗吗	妈妈
师什么公车	是什么公车
岗来	刚来
挑了	跳了
座７１６号的公车	坐７１６号的公车
三十分锺	三十分钟
七点锺	七点钟
公车佔	公车站
邓的时候	等的时候
依服	衣服
睡过偷	睡过头
佑对	有对
乎很大的吸	呼很大的吸
一整天水乐	一整天睡了
等以等	等一等
只有妳	只有你
可况	何况
学姣	学校
跳无	跳舞
恨情张	很紧张
恨票亮	很漂亮
俩个	两个
悾怕	恐怕
北老师骂他	怕老师骂他
十五分种	十五分钟
必较多	比较多
睡过头把	睡过头吧
我要座得巴士	我要坐的巴士
来不起	来不及
才陪吵醒	才被吵醒
撘公车	搭公车
眼靓	眼睛
台我无聊	太过无聊
大明哏他朋友	大明跟他朋友
跳五	跳舞
３０份钟	３０分钟
座呢个公车	坐那个公车
热恼	热闹
手摽	手表
苏嘉	暑假
不好亿思	不好意思
怎么杨	怎么样
妳怎么了	你怎么了
没有控	没有空
根冒	感冒
卧是李	我是李
即然	既然
台杯	台北
里拜	礼拜
希冠	希望
开兴	开心
烤师	考试
热心的不得了	热心得不得了
结昏	结婚
边请卡	邀请卡
注在	住在
密鲁	秘鲁
过的很开心	过得很开心
寰麟	婚礼
我回想妳们	我会想你们
绍待卡	招待卡
妳们	你们
幸福快乐的过	幸福快乐地过
公司排我	公司派我
常不一样	穿不一样
做二九七的公车	坐二九七的公车
几希	继续
今天得计画	今天的计画
开心得	开心地
钟就	终究
共车	公车
兔然	突然
林雨	淋雨
做公车	坐公车
好好地经验	好好的经验
涂然	突然
讨润以下	讨论一下
去万	去玩
高兴得	高兴地
考食物	烤食物
在考	在烤
美里	美丽
交他的朋友	教他的朋友
休葸	休息
拟越来越漂亮	妳越来越漂亮
对阿	对啊
一扁吃	一边吃
高高兴兴的	高高兴兴地
修系	休息
搜已	所以
早藏	早上
玩的横高兴	玩得很高兴
做神马	做什么
努生	女生
高行	高兴
一点鹅	一点饿
点蔡	点菜
交弮	交卷
贵定	规定
公作	工作
炽爱	挚爱
系望	希望
你道德地旁	你到的地方
除去完	出去玩
里拜天	礼拜天
暱友打算	你有打算
新家波	新加坡
考利以下	考虑一下
一起去把	一起去吧
寄怪	奇怪
休息一点	休息一天
我要会我的国家	我要回我的国家
四班牙	西班牙
完五月	玩五月
踏青我们	他请我们
是天两夜	四天两夜
忆起去	一起去
好久没间	好久没见
放便	方便
玩着玩者	玩着玩着
裁板	裁判
清等我	请等我
座一下	坐一下
请座	请坐
板球	棒球
测天	这天
馔衣服	穿衣服
情坐	请坐
经张	紧张
辕动比赛	运动比赛
埤酒	啤酒
看般球	看棒球
餲得不得了	渴得不得了
絣干	饼干
形像代言人 形象代言人
化夏子孙 华夏子孙
华为泡影 化为泡影
秘密歪斜 秘密外泄
计画 计划
忠于等到了 终于等到了
未日来临 末日来临
眼晴 眼睛
游刀有余 游刃有余
唐僧帅徒 唐僧师徒
太概 大概
一揽子货币 一篮子货币
举足无措 手足无措
凭藉 凭借
令人發指 令人髮指
绅仕 绅士
粘豆包 黏豆包
磬竹难书 罄竹难书
严惩不怠 严惩不贷
戮力同心 勠力同心
罚角球 发角球
综合症 综合征
单独二胎 单独二孩
蛰人 蜇人
泄秘 泄密
伏法 服法
羊羯子 羊蝎子
泻湖 潟湖
家俱 家具
精萃 精粹
兴亡周期率 兴亡周期律
震憾 震撼
中华人名共和国 中华人民共和国
大人常委会 人大常委会
中国共产常 中国共产党
科学发展现 科学发展观
扶贪 扶贫
严谨公款吃喝 严禁公款吃喝
按纳	按捺
案语	按语
百废具兴	百废俱兴
百页窗	百叶窗
班白	斑白
颁白	斑白
班驳	斑驳
胞子	孢子
保镳	保镖
保母	保姆
褓姆	保姆
辈份	辈分
本份	本分
笔划	笔画
必恭必敬	毕恭毕敬
编者案	编者按
萹豆	扁豆
稨豆	扁豆
藊豆	扁豆
标识	标志
鬓脚	鬓角
禀承	秉承
补靪	补丁
补钉	补丁
参预	参与
惨澹	惨淡
差迟	差池
搀和	掺和
搀假	掺假
搀杂	掺杂
刬除	铲除
倘佯	徜徉
车箱	车厢
澈底	彻底
沈思	沉思
趁心	称心
成份	成分
澄彻	澄澈
侈糜	侈靡
筹画	筹划
筹马	筹码
踌蹰	踌躇
出谋画策	出谋划策
喘嘘嘘	喘吁吁
磁器	瓷器
赐与	赐予
粗卤	粗鲁
搭当	搭档
搭挡	搭档
搭赸	搭讪
答讪	搭讪
答覆	答复
带孝	戴孝
耽心	担心
耽忧	担忧
担搁	耽搁
澹泊	淡泊
澹然	淡然
倒楣	倒霉
低徊	低回
雕敝	凋敝
雕弊	凋敝
雕零	凋零
雕落	凋落
雕谢	凋谢
跌荡	跌宕
跌交	跌跤
蹀血	喋血
丁宁	叮咛
定单	订单
定户	订户
定婚	订婚
定货	订货
定阅	订阅
枓拱	斗拱
枓栱	斗拱
逗遛	逗留
斗趣儿	逗趣儿
独脚戏	独角戏
端五	端午
二簧	二黄
贰心	二心
发人深醒	发人深省
蕃衍	繁衍
分付	吩咐
份量	分量
份内	分内
份外	分外
忿忿	愤愤
丰富多采	丰富多彩
疯瘫	风瘫
疯颠	疯癫
疯疯颠颠	疯疯癫癫
锋铓	锋芒
伏侍	服侍
服事	服侍
伏输	服输
伏罪	服罪
负嵎顽抗	负隅顽抗
傅会	附会
覆信	复信
复辙	覆辙
干与	干预
告戒	告诫
梗直	耿直
鲠直	耿直
恭惟	恭维
勾划	勾画
勾联	勾连
孤苦零丁	孤苦伶仃
孤负	辜负
骨董	古董
股分	股份
骨瘦如豺	骨瘦如柴
关连	关联
光采	光彩
归根结柢	归根结底
规戒	规诫
鬼哭狼嗥	鬼哭狼嚎
过份	过分
虾蟆	蛤蟆
含胡	含糊
涵蓄	含蓄
寒伧	寒碜
喝采	喝彩
喝倒采	喝倒彩
哄动	轰动
宏扬	弘扬
红通通	红彤彤
弘论	宏论
弘图	宏图
鸿图	宏图
弘愿	宏愿
弘旨	宏旨
鸿福	洪福
胡臭	狐臭
胡蝶	蝴蝶
胡涂	糊涂
虎魄	琥珀
花着	花招
豁拳	划拳
搳拳	划拳
恍忽	恍惚
晖映	辉映
混水摸鱼	浑水摸鱼
火伴	伙伴
机伶	机灵
激忿	激愤
计画	计划
记念	纪念
寄与	寄予
茄克	夹克
佳宾	嘉宾
驾御	驾驭
架式	架势
嫁装	嫁妆
简炼	简练
骄奢淫佚	骄奢淫逸
脚门	角门
狡滑	狡猾
脚根	脚跟
叫化子	叫花子
精采	精彩
鸠合	纠合
鸠集	纠集
脚色	角色
刻期	克期
刻日	克日
刻划	刻画
阔老	阔佬
蓝缕	褴褛
烂缦	烂漫
烂熳	烂漫
狼籍	狼藉
狼头	榔头
累坠	累赘
黎黑	黧黑
联贯	连贯
联接	连接
联绵	连绵
联缀	连缀
连袂	联袂
连翩	联翩
踉蹡	踉跄
嘹喨	嘹亮
撩乱	缭乱
零丁	伶仃
囹圉	囹圄
蹓跶	溜达
留连	流连
喽罗	喽啰
卤莽	鲁莽
录象	录像
录相	录像
落腮胡子	络腮胡子
落漠	落寞
落莫	落寞
痲痹	麻痹
痲风	麻风
痲疹	麻疹
蚂蜂	马蜂
马糊	马虎
门坎	门槛
糜费	靡费
绵联	绵连
摹仿	模仿
模胡	模糊
摹拟	模拟
模写	摹写
磨擦	摩擦
磨拳擦掌	摩拳擦掌
魔难	磨难
眽眽	脉脉
谋画	谋划
那末	那么
内哄	内讧
凝炼	凝练
牛崽裤	牛仔裤
钮扣	纽扣
掱手	扒手
蟠根错节	盘根错节
盘据	盘踞
蟠踞	盘踞
蟠据	盘踞
蟠曲	盘曲
盘陁	盘陀
盘石	磐石
蟠石	磐石
盘跚	蹒跚
旁皇	彷徨
披星带月	披星戴月
疲塌	疲沓
飘泊	漂泊
飘流	漂流
漂零	飘零
飘飖	飘摇
平空	凭空
牵联	牵连
蕉萃	憔悴
清彻	清澈
情素	情愫
惓惓	拳拳
劝戒	劝诫
热呼呼	热乎乎
热呼	热乎
热中	热衷
人材	人才
日蚀	日食
入坐	入座
色采	色彩
杀一警百	杀一儆百
沙鱼	鲨鱼
山查	山楂
舢舨	舢板
梢公	艄公
奢糜	奢靡
伸雪	申雪
神彩	神采
湿渌渌	湿漉漉
十锦	什锦
收伏	收服
首坐	首座
书柬	书简
思惟	思维
死心踏地	死心塌地
塌实	踏实
菾菜	甜菜
挺而走险	铤而走险
透澈	透彻
图象	图像
推委	推诿
玩艺儿	玩意儿
委过	诿过
污七八糟	乌七八糟
无动于中	无动于衷
无宁	毋宁
无庸	毋庸
五采缤纷	五彩缤纷
五痨七伤	五劳七伤
瘜肉	息肉
希罕	稀罕
希奇	稀奇
希少	稀少
希世	稀世
希有	稀有
噏动	翕动
洗炼	洗练
贤慧	贤惠
香纯	香醇
香菰	香菇
像貌	相貌
萧洒	潇洒
小题大作	小题大做
卸傤	卸载
信口开合	信口开河
惺松	惺忪
秀外惠中	秀外慧中
叙文	序文
叙言	序言
训戒	训诫
压伏	压服
压韵	押韵
雅片	鸦片
洋琴	扬琴
要末	要么
夜消	夜宵
一槌定音	一锤定音
一古脑儿	一股脑儿
衣衿	衣襟
衣著	衣着
义无返顾	义无反顾
霪雨	淫雨
赢余	盈余
影象	影像
余辉	余晖
鱼具	渔具
鱼网	渔网
预会	与会
预闻	与闻
御手	驭手
豫备	预备
元来	原来
元煤	原煤
源源本本	原原本本
元元本本	原原本本
原故	缘故
原由	缘由
月蚀	月食
月芽	月牙
云豆	芸豆
杂遝	杂沓
再接再砺	再接再厉
斩新	崭新
展转	辗转
颤栗	战栗
帐本	账本
折衷	折中
这末	这么
正经八摆	正经八百
脂麻	芝麻
支解	肢解
枝解	肢解
直捷了当	直截了当
直接了当	直截了当
指手划脚	指手画脚
赒济	周济
转游	转悠
装璜	装潢
姿式	姿势
子细	仔细
自各儿	自个儿
左证	佐证
安份守己	安分守己
暗度陈仓	暗渡陈仓
把势	把式
班配	般配
棒锤	棒槌
棒棰	棒槌
暴光	曝光
报导	报道
悲忿	悲愤
背理	悖理
比画	比划
笔心	笔芯
荜路蓝缕	筚路蓝缕
辨白	辩白
辩辞	辩词
波浪鼓	拨浪鼓
泼浪鼓	拨浪鼓
部份	部分
菜子	菜籽
仓惶	仓皇
仓黄	仓皇
仓遑	仓皇
策画	策划
常年累月	长年累月
唱工	唱功
潮呼呼	潮乎乎
潮忽忽	潮乎乎
撤消	撤销
承上起下	承上启下
吃里扒外	吃里爬外
踟躇	踟蹰
串连	串联
辞汇	词汇
词令	辞令
搭拉	耷拉
答理	搭理
哒哒	嗒嗒
搭裢	褡裢
搭连	褡裢
褡连	褡裢
褡联	褡裢
打冷颤	打冷战
大放厥辞	大放厥词
铛铛	当当
当做	当作
捣腾	倒腾
悼辞	悼词
得意扬扬	得意洋洋
灯心	灯芯
滴里嘟噜	嘀里嘟噜
掉包	调包
钉梢	盯梢
丢三拉四	丢三落四
掉换	调换
东不拉	冬不拉
遁辞	遁词
哆唆	哆嗦
峨嵋山	峨眉山
发楞	发愣
翻然醒悟	幡然醒悟
反覆	反复
忿恨	愤恨
忿怒	愤怒
夫倡妇随	夫唱妇随
浮图	浮屠
辐凑	辐辏
福份	福分
俯首贴耳	俯首帖耳
赋与	赋予
夹肢窝	胳肢窝
格登	咯噔
根柢	根底
梗咽	哽咽
宫庭	宫廷
钩勒	勾勒
勾针	钩针
够戗	够呛
孤另另	孤零零
孤伶伶	孤零零
轱轳	轱辘
毂辘	轱辘
固步自封	故步自封
故技	故伎
锢疾	痼疾
固疾	痼疾
刮刮叫	呱呱叫
呵腰	哈腰
寒颤	寒战
嚎啕	号啕
号咷	号啕
嚎咷	号啕
好高务远	好高骛远
和事老	和事佬
贺辞	贺词
黑鼓隆咚	黑咕隆咚
黑古龙冬	黑咕隆咚
黑鸦鸦	黑压压
轰堂大笑	哄堂大笑
轰笑	哄笑
宏亮	洪亮
呼嗤	呼哧
呼蚩	呼哧
呼吃	呼哧
花狸狐哨	花里胡哨
花梢	花哨
花稍	花哨
花消	花销
黄历	皇历
混身	浑身
浑沌	混沌
辑逸	辑佚
给与	给予
记录片	纪录片
记要	纪要
趼子	茧子
交待	交代
脚鸭子	脚丫子
脚指	脚趾
叫真	较真
菁华	精华
警省	警醒
酒钟	酒盅
倔犟	倔强
开消	开销
砍大山	侃大山
看做	看作
夸大其辞	夸大其词
宽洪大量	宽宏大量
老趼	老茧
乐和和	乐呵呵
乐孜孜	乐滋滋
利害 厉害
伶牙利齿	伶牙俐齿
流言飞语	流言蜚语
蹓弯儿	遛弯儿
乱烘烘	乱哄哄
罗纹	螺纹
慢道	漫道
慢说	漫说
毛骨耸然	毛骨悚然
毛骨竦然	毛骨悚然
冒然	贸然
棉子	棉籽
藐小	渺小
渺视	藐视
渺远	邈远
溟溟	冥冥
摸棱两可	模棱两可
秣马利兵	秣马厉兵
秣马砺兵	秣马厉兵
木犀	木樨
闹轰轰	闹哄哄
闹烘烘	闹哄哄
粘稠	黏稠
粘糊	黏糊
粘土	黏土
粘性	黏性
粘液	黏液
念道	念叨
暖呼呼	暖乎乎
扒犁	爬犁
判辞	判词
皮簧	皮黄
慓悍	剽悍
飘渺	缥缈
漂渺	缥缈
飘眇	缥缈
飘邈	缥缈
凭白无故	平白无故
匍伏	匍匐
起程	启程
启锚	起锚
起迄	起讫
气门心	气门芯
牵就	迁就
遣辞	遣词
枪枝	枪支
情份	情分
屈伏	屈服
取销	取消
雀瘢	雀斑
热剌剌	热辣辣
如雷灌耳	如雷贯耳
散逸	散佚
沙锅	砂锅
沙壶	砂壶
沙浆	砂浆
沙糖	砂糖
杀风景	煞风景
杀尾	煞尾
刹时	霎时
山颠	山巅
扇风点火	煽风点火
闪烁其辞	闪烁其词
上方宝剑	尚方宝剑
深醒	深省
甚么	什么
神甫	神父
省分	省份
拾遗补阙	拾遗补缺
士女画	仕女画
视阈	视域
誓辞	誓词
授与	授予
摔交	摔跤
水份	水分
水长船高	水涨船高
思辩	思辨
死气白赖	死乞白赖
宿愿	夙愿
夙来	素来
夙敌	宿敌
夙儒	宿儒
夙怨	宿怨
梯己 体己
题辞	题词
俶傥	倜傥
瞳人	瞳仁
产玲	产龄
退色	褪色
托咐	托付
顽耍	玩耍
玩皮	顽皮
惟独	唯独
惟恐	唯恐
惟利是图	唯利是图
惟命是从	唯命是从
惟其	唯其
惟我独尊	唯我独尊
惟一	唯一
萎顿	委顿
委宛	委婉
委罪	诿罪
委靡	萎靡
委谢	萎谢
文彩	文采
无精打彩	无精打采
无尚	无上
欷歔	唏嘘
喜孜孜	喜滋滋
陷井	陷阱
项练	项链
销歇	消歇
消魂	销魂
兴高彩烈	兴高采烈
雄纠纠	雄赳赳
旋涡	漩涡
薰陶	熏陶
丫鬟	丫环
压宝	押宝
哑吧	哑巴
哑叭	哑巴
言不由中	言不由衷
一倡百和	一唱百和
一蹋糊涂	一塌糊涂
一榻糊涂	一塌糊涂
一相情愿	一厢情愿
引伸	引申
硬梆梆	硬邦邦
硬帮帮	硬邦邦
渔汛	鱼汛
鱼鼓	渔鼓
约莫	约摸
殒落	陨落
在坐	在座
糟踏	糟蹋
糟塌	糟蹋
张惶	张皇
照像	照相
珍羞	珍馐
真象	真相
枝梧	支吾
枝捂	支吾
装聋做哑	装聋作哑
妆束	装束
装做	装作
子畜	仔畜
子猪	仔猪
子粒	籽粒
子棉	籽棉
子实	籽实
走露	走漏
做弊	作弊
做美	作美
做弄	作弄
做声	作声
做秀	作秀
座落	坐落
坐次	座次
坐位	座位
旁证博引 旁征博引
谈笑风声 谈笑风生
美仑美幻 美轮美奂
坐阵 坐镇
不径而走 不胫而走
飘亮  漂亮
青纯  清纯
体晾 体谅
发杨广大 发扬光大
浪废水 浪费水
通货膨涨 通货膨胀
迫不急待 迫不及待
堵注  赌注
