U+4E00: yī  # 一
U+4E95: jǐng  # 井
U+4E9A: yà  # 亚
U+4E9B: xiē  # 些
U+4E9E: yà  # 亞
U+4EA1: wáng  # 亡
U+4EA4: jiāo  # 交
U+4EA6: yì  # 亦
U+4EA7: chǎn  # 产
U+4EA9: mǔ  # 亩
U+4EAB: xiǎng  # 享
U+4EAD: tíng  # 亭
U+4EAE: liàng,liang  # 亮
U+4EB2: qīn,qin  # 亲
U+4EBA: rén,ren  # 人
U+4EBF: yì  # 亿
U+4EC0: shén,shen  # 什
U+4EC5: jǐn  # 仅
U+4EC7: chóu  # 仇
U+4ECA: jīn  # 今
U+4ECB: jiè  # 介
U+4ECD: réng  # 仍
U+4ECE: cóng,cōng  # 从
U+4ED3: cāng  # 仓
U+4ED4: zǐ  # 仔
U+4ED6: tā  # 他
U+4ED7: zhàng  # 仗
U+4ED8: fù,fu  # 付
U+4ED9: xian,xiān  # 仙
U+4EE3: dài  # 代
U+4EE4: lìng  # 令
U+4EE5: yǐ  # 以
U+4EEA: yí  # 仪
U+4EEC: men  # 们
U+4EF0: yǎng  # 仰
U+4EF6: jiàn  # 件
U+4EF7: jià  # 价
U+4EFB: rèn  # 任
U+4EFD: fèn,fen  # 份
U+4EFF: fǎng  # 仿
U+4F01: qǐ  # 企
U+4F0A: yī  # 伊
U+4F0D: wu  # 伍
U+4F0F: fú  # 伏
U+4F10: fá  # 伐
U+4F11: xiū  # 休
U+4F17: zhòng  # 众
U+4F18: yōu  # 优
U+4F19: huǒ,huo  # 伙
U+4F1A: huì,kuài  # 会
U+4F1E: sǎn  # 伞
U+4F1F: wěi  # 伟
U+4F20: chuán,zhuàn  # 传
U+4F24: shāng  # 伤
U+4F2A: wěi  # 伪
U+4F2F: bó,bo  # 伯
U+4F30: gū  # 估
U+4F34: bàn  # 伴
U+4F36: ling  # 伶
U+4F38: shēn  # 伸
U+4F3A: cì  # 伺
U+4F3C: shì,sì  # 似
U+4F43: diàn  # 佃
U+4F46: dàn  # 但
U+4F4D: wèi  # 位
U+4F4E: dī  # 低
U+4F4F: zhù  # 住
U+4F51: yòu  # 佑
U+4F53: tǐ  # 体
U+4F55: hé  # 何
U+4F59: yú  # 余
U+4F5B: fú  # 佛
U+4F5C: zuò  # 作
U+4F60: nǐ  # 你
U+4F69: pèi  # 佩
U+4F73: jiā  # 佳
U+4F7F: shǐ  # 使
U+4F86: lái  # 來
U+4F8B: lì  # 例
U+4F8D: shì  # 侍
U+4F9B: gōng,gòng  # 供
U+4F9D: yī  # 依
U+4FA6: zhēn  # 侦
U+4FA7: cè  # 侧
U+4FAE: wǔ  # 侮
U+4FB5: qīn  # 侵
U+4FBF: biàn,pián  # 便
U+4FC3: cù  # 促
U+4FC4: é  # 俄
U+4FD7: sú  # 俗
U+4FD8: fú  # 俘
U+4FDD: bǎo  # 保
U+4FE1: xìn  # 信
U+4FE9: liǎ  # 俩
U+4FED: jiǎn  # 俭
U+4FEE: xiū  # 修
U+4FEF: fǔ  # 俯
U+4FF1: jù  # 俱
U+4FFA: ǎn  # 俺
U+5006: liǎ  # 倆
U+5009: cāng  # 倉
U+500B: gè,ge,gě  # 個
U+500D: bèi  # 倍
U+5011: men  # 們
U+5012: dào,dǎo  # 倒
U+5018: tǎng  # 倘
U+5019: hou,hòu  # 候
U+501A: yǐ  # 倚
U+501F: jiè  # 借
U+5021: chàng  # 倡
U+5026: juàn  # 倦
U+503A: zhài  # 债
U+503C: zhí  # 值
U+503E: qīng  # 倾
U+5047: jiǎ,jià  # 假
U+5049: wěi  # 偉
U+504E: wēi  # 偎
U+504F: piān  # 偏
U+505A: zuò  # 做
U+505C: tíng  # 停
U+5065: jiàn  # 健
U+5074: cè  # 側
U+5075: zhēn  # 偵
U+5076: ǒu  # 偶
U+5077: tōu  # 偷
U+507D: wěi  # 偽
U+507F: cháng  # 偿
U+5085: fu  # 傅
U+508D: bàng  # 傍
U+5098: sǎn  # 傘
U+5099: bèi  # 備
U+50A8: chǔ  # 储
U+50AC: cuī  # 催
U+50B2: ào  # 傲
U+50B3: chuán,zhuàn  # 傳
U+50B5: zhài  # 債
U+50B7: shāng  # 傷
U+50BB: shǎ  # 傻
U+50BE: qīng  # 傾
U+50C5: jǐn  # 僅
U+50CF: xiàng  # 像
U+50DA: liáo  # 僚
U+50F1: gù  # 僱
U+50F5: jiāng  # 僵
U+50F9: jià  # 價
U+5100: yí  # 儀
U+5104: yì  # 億
U+5109: jiǎn  # 儉
U+511F: cháng  # 償
U+512A: yōu  # 優
U+5132: chǔ  # 儲
U+513F: r,ér  # 儿
U+5141: yǔn  # 允
U+5143: yuán  # 元
U+5144: xiōng,xiong  # 兄
U+5145: chōng  # 充
U+5148: xiān  # 先
U+5149: guāng  # 光
U+514B: kè  # 克
U+514D: miǎn  # 免
U+5152: r,ér  # 兒
U+5154: tù  # 兔
U+515A: dǎng  # 党
U+515C: dōu  # 兜
U+5165: rù  # 入
U+5167: nèi  # 內
U+5168: quán  # 全
U+5169: liǎng  # 兩
U+516B: bā  # 八
U+516C: gōng  # 公
U+516D: liù  # 六
U+5171: gòng  # 共
U+5173: guān  # 关
U+5174: xìng,xīng  # 兴
U+5175: bīng  # 兵
U+5176: qí  # 其
U+5177: jù,ju  # 具
U+5178: diǎn  # 典
U+517B: yǎng  # 养
U+517C: jiān  # 兼
U+517D: shòu  # 兽
U+5185: nèi  # 内
U+5188: gāng  # 冈
U+518A: cè  # 冊
U+518C: cè  # 册
U+518D: zài  # 再
U+5192: mào  # 冒
U+5199: xiě  # 写
U+519B: jūn  # 军
U+519C: nóng  # 农
U+51A4: yuān  # 冤
U+51AC: dōng  # 冬
U+51B0: bīng  # 冰
U+51B2: chōng,chòng  # 冲
U+51B3: jué  # 决
U+51B5: kuàng  # 况
U+51B6: yě  # 冶
U+51B7: lěng  # 冷
U+51BB: dòng  # 冻
U+51C0: jìng  # 净
U+51C4: qī  # 凄
U+51C6: zhǔn  # 准
U+51C9: liáng  # 凉
U+51CD: dòng  # 凍
U+51CF: jiǎn  # 减
U+51D1: còu  # 凑
U+51DD: níng  # 凝
U+51E0: jǐ,jī  # 几
U+51E1: fán  # 凡
U+51E4: fèng  # 凤
U+51EB: fú  # 凫
U+51ED: píng  # 凭
U+51F0: huáng  # 凰
U+51F3: dèng  # 凳
U+51F6: xiōng  # 凶
U+51F8: tū  # 凸
U+51F9: āo  # 凹
U+51FA: chū  # 出
U+51FB: jī  # 击
U+51FF: záo  # 凿
U+5200: dāo  # 刀
U+5206: fēn,fèn,fen  # 分
U+5207: qiè,qiē  # 切
U+520A: kān  # 刊
U+5211: xíng  # 刑
U+5212: huà,huá  # 划
U+5217: liè  # 列
U+5219: zé  # 则
U+521A: gāng  # 刚
U+521B: chuàng,chuāng  # 创
U+521D: chū  # 初
U+5224: pàn  # 判
U+5225: bié,biè  # 別
U+5228: páo  # 刨
U+5229: lì,li  # 利
U+522B: bié,biè  # 别
U+522E: guā  # 刮
U+5230: dào,dao  # 到
U+5236: zhì  # 制
U+5237: shuā  # 刷
U+5239: shā,chà  # 刹
U+523A: cì  # 刺
U+523B: kè  # 刻
U+5242: jì  # 剂
U+5247: zé  # 則
U+524A: xuē,xiāo  # 削
U+524D: qián  # 前
U+524E: shā,chà  # 剎
U+5251: jiàn  # 剑
U+5254: tī  # 剔
U+5256: pōu  # 剖
U+525B: gāng  # 剛
U+525D: bō  # 剝
U+5265: bō  # 剥
U+5267: jù  # 剧
U+5269: shèng  # 剩
U+526A: jiǎn  # 剪
U+526F: fù  # 副
U+5272: gē  # 割
U+5275: chuàng,chuāng  # 創
U+527F: jiǎo  # 剿
U+5287: jù  # 劇
U+5288: pī  # 劈
U+528D: jiàn  # 劍
U+5291: jì  # 劑
U+529B: lì,li  # 力
U+529D: quàn  # 劝
U+529E: bàn  # 办
U+529F: gōng  # 功
U+52A0: jiā  # 加
U+52A1: wu,wù  # 务
U+52A3: liè  # 劣
U+52A8: dòng  # 动
U+52A9: zhù  # 助
U+52AA: nǔ  # 努
U+52B1: lì  # 励
U+52B2: jìn  # 劲
U+52B3: láo  # 劳
U+52BF: shì,shi  # 势
U+52C1: jìn  # 勁
U+52C3: bó  # 勃
U+52C7: yǒng  # 勇
U+52C9: miǎn  # 勉
U+52D2: lēi  # 勒
U+52D5: dòng  # 動
U+52D8: kān  # 勘
U+52D9: wu,wù  # 務
U+52DD: shèng  # 勝
U+52DE: láo  # 勞
U+52E2: shì,shi  # 勢
U+52E4: qín  # 勤
U+52F5: lì  # 勵
U+52F8: quàn  # 勸
U+52FB: yún  # 勻
U+52FE: gōu  # 勾
U+5300: yún  # 匀
U+5305: bāo  # 包
U+5306: cōng  # 匆
U+5316: huà  # 化
U+5317: běi  # 北
U+5319: shi  # 匙
U+5320: jiang,jiàng  # 匠
U+532A: fěi  # 匪
U+532F: huì  # 匯
U+5339: pǐ  # 匹
U+533A: qū  # 区
U+533B: yī  # 医
U+533E: biǎn  # 匾
U+5340: qū  # 區
U+5341: shí  # 十
U+5343: qiān  # 千
U+5347: shēng  # 升
U+5348: wǔ,wu  # 午
U+534A: bàn  # 半
U+534E: huá  # 华
U+534F: xié  # 协
U+5351: bēi  # 卑
U+5354: xié  # 協
U+5355: dān  # 单
U+5356: mài,mai  # 卖
U+5357: nán  # 南
U+535A: bó  # 博
U+535C: bo  # 卜
U+5360: zhàn  # 占
U+5361: kǎ  # 卡
U+5367: wò  # 卧
U+536B: wèi  # 卫
U+5370: yìn  # 印
U+5371: wēi  # 危
U+5373: jí  # 即
U+5374: què  # 却
U+5375: luǎn  # 卵
U+5377: juǎn,juàn  # 卷
U+5378: xiè  # 卸
U+537B: què  # 卻
U+5382: chǎng  # 厂
U+5385: tīng  # 厅
U+5386: lì  # 历
U+5389: lì  # 厉
U+538B: yā  # 压
U+538C: yàn  # 厌
U+5395: cè  # 厕
U+5398: lí  # 厘
U+539A: hòu  # 厚
U+539F: yuán  # 原
U+53A2: xiāng  # 厢
U+53A6: shà  # 厦
U+53A8: chú  # 厨
U+53AD: yàn  # 厭
U+53B2: lì  # 厲
U+53BB: qù  # 去
U+53BF: xiàn  # 县
U+53C2: cān,shēn  # 参
U+53C3: cān,shēn  # 參
U+53C8: yòu  # 又
U+53CA: jí  # 及
U+53CB: you,yǒu  # 友
U+53CC: shuāng  # 双
U+53CD: fǎn  # 反
U+53D1: fā,fa,fà  # 发
U+53D4: shū,shu  # 叔
U+53D6: qǔ  # 取
U+53D7: shòu  # 受
U+53D8: biàn  # 变
U+53D9: xù  # 叙
U+53DB: pàn  # 叛
U+53E0: dié  # 叠
U+53E2: cóng  # 叢
U+53E3: kǒu,kou  # 口
U+53E4: gǔ  # 古
U+53E5: jù  # 句
U+53E6: lìng  # 另
U+53EA: zhǐ,zhī  # 只
U+53EB: jiào  # 叫
U+53EC: zhào  # 召
U+53ED: ba  # 叭
U+53EE: dīng  # 叮
U+53EF: kě  # 可
U+53F0: tái  # 台
U+53F2: shǐ  # 史
U+53F3: yòu  # 右
U+53F6: yè  # 叶
U+53F7: hào,hao,háo  # 号
U+53F8: sī  # 司
U+53F9: tàn  # 叹
U+53FC: diāo  # 叼
U+5401: xū,yù  # 吁
U+5403: chī  # 吃
U+5404: gè  # 各
U+5406: yāo  # 吆
U+5408: hé  # 合
U+5409: jí  # 吉
U+540A: diào  # 吊
U+540C: tóng,tong,tòng  # 同
U+540D: míng  # 名
U+540E: hòu  # 后
U+5410: tǔ,tù  # 吐
U+5411: xiàng  # 向
U+5413: xià  # 吓
U+5417: ma,má  # 吗
U+541B: jūn  # 君
U+541E: tūn  # 吞
U+541F: yín  # 吟
U+5426: fǒu  # 否
U+5427: ba  # 吧
U+5428: dūn  # 吨
U+5429: fēn  # 吩
U+542B: hán  # 含
U+542C: tīng,ting  # 听
U+542D: kēng  # 吭
U+542F: qǐ  # 启
U+5435: chǎo  # 吵
U+5436: ne,nà  # 吶
U+5438: xī  # 吸
U+5439: chuī  # 吹
U+543B: wěn  # 吻
U+543C: hǒu  # 吼
U+5440: ya,yā  # 呀
U+5443: è  # 呃
U+5446: dāi  # 呆
U+5448: chéng  # 呈
U+544A: gào  # 告
U+5450: ne,nà  # 呐
U+5457: bei  # 呗
U+5458: yuán  # 员
U+545C: wū  # 呜
U+5462: ne,ní  # 呢
U+5468: zhōu  # 周
U+5473: wèi  # 味
U+5475: ā,hē  # 呵
U+5478: pēi  # 呸
U+547B: shēn  # 呻
U+547C: hū,hu  # 呼
U+547D: mìng  # 命
U+5480: jǔ  # 咀
U+5482: zā  # 咂
U+5486: páo  # 咆
U+548B: zǎ  # 咋
U+548C: hé,huo,he,hè  # 和
U+5490: fu  # 咐
U+5492: zhòu  # 咒
U+5495: gu  # 咕
U+5496: kā  # 咖
U+5499: lóng  # 咙
U+549B: níng  # 咛
U+54A6: yí  # 咦
U+54A7: lie  # 咧
U+54AC: yǎo  # 咬
U+54B1: zán,zan  # 咱
U+54B3: hāi,ké  # 咳
U+54B8: xián  # 咸
U+54BD: yàn,yè,yān  # 咽
U+54C0: āi  # 哀
U+54C1: pǐn  # 品
U+54C4: hōng,hǒng  # 哄
U+54C6: duō  # 哆
U+54C7: wa,wā  # 哇
U+54C8: hā  # 哈
U+54CD: xiǎng  # 响
U+54CE: āi  # 哎
U+54CF: gén  # 哏
U+54D1: yǎ  # 哑
U+54D7: huā  # 哗
U+54DF: yō,yo  # 哟
U+54E1: yuán  # 員
U+54E5: gē,ge  # 哥
U+54E6: ó,ò,é  # 哦
U+54E7: chī  # 哧
U+54E8: shào  # 哨
U+54E9: li  # 哩
U+54EA: nǎ,na  # 哪
U+54ED: kū  # 哭
U+54EE: xiāo  # 哮
U+54F2: zhé  # 哲
U+54FA: bǔ  # 哺
U+54FC: hēng  # 哼
U+54FD: gěng  # 哽
U+5504: bei  # 唄
U+5507: chún  # 唇
U+5524: huàn,huan  # 唤
U+552C: hu  # 唬
U+552E: shòu  # 售
U+552F: wéi  # 唯
U+5530: shuā  # 唰
U+5531: chàng  # 唱
U+553E: tuò  # 唾
U+5543: kěn  # 啃
U+5544: zhuó  # 啄
U+5546: shāng  # 商
U+554A: a,ā  # 啊
U+554F: wèn,wen  # 問
U+555E: yǎ  # 啞
U+555F: qǐ  # 啟
U+5561: fēi  # 啡
U+5564: pí  # 啤
U+5565: shà  # 啥
U+5566: la,lā  # 啦
U+556A: pā  # 啪
U+5578: xiào  # 啸
U+557C: tí  # 啼
U+557E: jiū  # 啾
U+5582: wèi  # 喂
U+5583: nán  # 喃
U+5584: shàn  # 善
U+5587: lǎ  # 喇
U+5589: hóu  # 喉
U+558A: hǎn  # 喊
U+5594: ō  # 喔
U+5598: chuǎn  # 喘
U+559A: huàn,huan  # 喚
U+559C: xǐ  # 喜
U+559D: hē,he,hè  # 喝
U+55AA: sàng  # 喪
U+55AE: dān  # 單
U+55B2: yō,yo  # 喲
U+55B7: pēn  # 喷
U+55BD: lou  # 喽
U+55C5: xiù  # 嗅
U+55CE: ma,má  # 嗎
U+55D0: hài  # 嗐
U+55D3: sǎng  # 嗓
U+55DA: wū  # 嗚
U+55E1: wēng  # 嗡
U+55E6: suo  # 嗦
U+55E8: hāi  # 嗨
U+55EC: hē  # 嗬
U+55EF: ń,ň,ǹ,ńg,ňg,ǹg  # 嗯
U+55FD: sou  # 嗽
U+5600: dí  # 嘀
U+5606: tàn  # 嘆
U+5608: cáo  # 嘈
U+560D: lou  # 嘍
U+5617: cháng  # 嘗
U+5618: xū  # 嘘
U+561B: ma,má  # 嘛
U+5629: huā  # 嘩
U+562F: xiào  # 嘯
U+5631: zhǔ  # 嘱
U+5632: cháo  # 嘲
U+5634: zuǐ  # 嘴
U+5636: sī  # 嘶
U+563B: xī  # 嘻
U+563F: hēi  # 嘿
U+5653: xū  # 噓
U+5662: ō  # 噢
U+5668: qì  # 器
U+566A: zào  # 噪
U+5674: pēn  # 噴
U+5678: dūn  # 噸
U+5680: níng  # 嚀
U+5687: xià  # 嚇
U+56A8: lóng  # 嚨
U+56B4: yán  # 嚴
U+56B7: rǎng  # 嚷
U+56BC: jué  # 嚼
U+56D1: zhǔ  # 囑
U+56DB: sì  # 四
U+56DE: huí  # 回
U+56E0: yīn  # 因
U+56E2: tuán  # 团
U+56EA: cōng  # 囪
U+56ED: yuán  # 园
U+56F0: kùn  # 困
U+56F1: cōng  # 囱
U+56F4: wéi  # 围
U+56FA: gù  # 固
U+56FD: guó  # 国
U+56FE: tú  # 图
U+5706: yuán  # 圆
U+5708: quān,juàn  # 圈
U+570B: guó  # 國
U+570D: wéi  # 圍
U+5712: yuán  # 園
U+5713: yuán  # 圓
U+5716: tú  # 圖
U+5718: tuán  # 團
U+571F: tǔ  # 土
U+5723: shèng  # 圣
U+5728: zài  # 在
U+5730: de,dì  # 地
U+573A: chǎng,cháng  # 场
U+573E: jī  # 圾
U+5740: zhǐ  # 址
U+5747: jūn  # 均
U+574A: fang  # 坊
U+574E: kǎn  # 坎
U+574F: huài  # 坏
U+5750: zuò  # 坐
U+5751: kēng  # 坑
U+5757: kuài  # 块
U+575A: jiān  # 坚
U+575D: bà  # 坝
U+575F: fén  # 坟
U+5760: zhuì  # 坠
U+5761: pō  # 坡
U+5766: tǎn  # 坦
U+576F: pī  # 坯
U+5782: chuí  # 垂
U+5783: lā  # 垃
U+5784: lǒng  # 垄
U+578B: xíng  # 型
U+5792: lěi  # 垒
U+57A6: kěn  # 垦
U+57AB: diàn  # 垫
U+57AE: kuǎ  # 垮
U+57C3: āi  # 埃
U+57CB: mái,mán  # 埋
U+57CE: chéng  # 城
U+57DF: yù  # 域
U+57E0: bù  # 埠
U+57F7: zhí  # 執
U+57F9: péi  # 培
U+57FA: jī  # 基
U+5802: táng,tang  # 堂
U+5805: jiān  # 堅
U+5806: duī  # 堆
U+5821: bǎo  # 堡
U+5824: dī  # 堤
U+582A: kān  # 堪
U+5830: yàn  # 堰
U+5831: bào  # 報
U+5834: chǎng,cháng  # 場
U+5835: dǔ  # 堵
U+584A: kuài  # 塊
U+584C: tā  # 塌
U+5851: sù  # 塑
U+5854: tǎ  # 塔
U+5858: táng  # 塘
U+585E: sāi,sè  # 塞
U+586B: tián  # 填
U+5875: chén  # 塵
U+5883: jìng  # 境
U+588A: diàn  # 墊
U+5893: mù  # 墓
U+5899: qiáng  # 墙
U+589C: zhuì  # 墜
U+589E: zēng  # 增
U+58A8: mò  # 墨
U+58A9: dūn  # 墩
U+58B3: fén  # 墳
U+58BE: kěn  # 墾
U+58C1: bì  # 壁
U+58D3: yā  # 壓
U+58D5: háo  # 壕
U+58D8: lěi  # 壘
U+58DE: huài  # 壞
U+58DF: lǒng  # 壟
U+58E4: rǎng  # 壤
U+58E9: bà  # 壩
U+58EB: shì,shi  # 士
U+58EE: zhuàng  # 壮
U+58EF: zhuàng  # 壯
U+58F0: shēng,sheng  # 声
U+58F3: ké,qiào  # 壳
U+58F6: hú  # 壶
U+58FA: hú  # 壺
U+58FD: shòu  # 壽
U+5904: chù,chǔ,chu  # 处
U+5907: bèi  # 备
U+590D: fù  # 复
U+590F: xià  # 夏
U+5915: xī  # 夕
U+5916: wài  # 外
U+591A: duō  # 多
U+591C: yè  # 夜
U+591F: gòu  # 够
U+5920: gòu  # 夠
U+5922: mèng  # 夢
U+5927: dà,dài  # 大
U+5929: tiān,tian  # 天
U+592A: tài,tai  # 太
U+592B: fu,fū  # 夫
U+592E: yāng  # 央
U+5931: shī  # 失
U+5934: tóu,tou  # 头
U+5938: kuā  # 夸
U+5939: jiā,jiá  # 夹
U+593A: duó  # 夺
U+593E: jiā,jiá  # 夾
U+5947: qí  # 奇
U+5948: nài  # 奈
U+5949: fèng  # 奉
U+594B: fèn  # 奋
U+594F: zòu  # 奏
U+5954: bēn,bèn  # 奔
U+5956: jiǎng  # 奖
U+5957: tào  # 套
U+5960: diàn  # 奠
U+596A: duó  # 奪
U+596E: fèn  # 奮
U+5973: nǚ,nü  # 女
U+5974: nú  # 奴
U+5976: nǎi,nai  # 奶
U+5978: jiān  # 奸
U+5979: tā  # 她
U+597D: hǎo,hāo,hào  # 好
U+5982: rú  # 如
U+5984: wàng  # 妄
U+5987: fù,fu  # 妇
U+5988: mā,ma  # 妈
U+5999: miào  # 妙
U+59A5: tuǒ  # 妥
U+59A8: fáng,fāng  # 妨
U+59B9: mèi,mei  # 妹
U+59BB: qī  # 妻
U+59C6: mǔ  # 姆
U+59CA: zǐ  # 姊
U+59CB: shǐ  # 始
U+59D0: jie,jiě  # 姐
U+59D1: gū,gu  # 姑
U+59D3: xìng  # 姓
U+59D4: wěi  # 委
U+59DC: jiāng  # 姜
U+59E8: yí  # 姨
U+59FB: yīn  # 姻
U+59FF: zī  # 姿
U+5A01: wēi  # 威
U+5A03: wá,wa  # 娃
U+5A07: jiāo  # 娇
U+5A18: niang,niáng  # 娘
U+5A1B: yú  # 娛
U+5A31: yú  # 娱
U+5A36: qǔ  # 娶
U+5A46: pó,po  # 婆
U+5A5A: hūn  # 婚
U+5A66: fù,fu  # 婦
U+5A74: yīng  # 婴
U+5A76: shěn,shen  # 婶
U+5AB3: xí  # 媳
U+5ABD: mā,ma  # 媽
U+5AC1: jià  # 嫁
U+5AC2: sǎo,sao  # 嫂
U+5ACC: xián  # 嫌
U+5AE9: nèn  # 嫩
U+5B0C: jiāo  # 嬌
U+5B30: yīng  # 嬰
U+5B38: shěn,shen  # 嬸
U+5B50: zi,zǐ  # 子
U+5B54: kǒng  # 孔
U+5B57: zì,zi  # 字
U+5B58: cún  # 存
U+5B59: sūn  # 孙
U+5B63: jì  # 季
U+5B64: gū  # 孤
U+5B66: xué  # 学
U+5B69: hái  # 孩
U+5B6B: sūn  # 孫
U+5B75: fū  # 孵
U+5B78: xué  # 學
U+5B81: níng,nìng  # 宁
U+5B83: tā  # 它
U+5B85: zhái  # 宅
U+5B87: yǔ  # 宇
U+5B88: shǒu  # 守
U+5B89: ān  # 安
U+5B8C: wán  # 完
U+5B8F: hóng  # 宏
U+5B97: zōng,zong  # 宗
U+5B98: guān  # 官
U+5B99: zhòu  # 宙
U+5B9A: dìng  # 定
U+5B9C: yi,yí  # 宜
U+5B9D: bǎo  # 宝
U+5B9E: shí,shi  # 实
U+5BA1: shěn  # 审
U+5BA2: kè  # 客
U+5BA3: xuān  # 宣
U+5BA4: shì  # 室
U+5BAA: xiàn  # 宪
U+5BAB: gōng  # 宫
U+5BAE: gōng  # 宮
U+5BB0: zǎi  # 宰
U+5BB3: hài,hai  # 害
U+5BB4: yàn  # 宴
U+5BB5: xiāo  # 宵
U+5BB6: jiā,jia  # 家
U+5BB9: róng  # 容
U+5BBD: kuān  # 宽
U+5BBE: bīn  # 宾
U+5BBF: sù,xiǔ  # 宿
U+5BC2: jì  # 寂
U+5BC4: jì  # 寄
U+5BC6: mì  # 密
U+5BC7: kòu  # 寇
U+5BCC: fù  # 富
U+5BD2: hán  # 寒
U+5BD3: yù  # 寓
U+5BDE: mò  # 寞
U+5BDF: chá  # 察
U+5BE1: guǎ  # 寡
U+5BE6: shí,shi  # 實
U+5BE7: níng,nìng  # 寧
U+5BE9: shěn  # 審
U+5BEB: xiě  # 寫
U+5BEC: kuān  # 寬
U+5BF6: bǎo  # 寶
U+5BF8: cùn,cun  # 寸
U+5BF9: duì  # 对
U+5BFB: xún,xín  # 寻
U+5BFC: dǎo  # 导
U+5BFF: shòu  # 寿
U+5C01: fēng  # 封
U+5C04: shè  # 射
U+5C06: jiāng,jiàng  # 将
U+5C07: jiāng,jiàng  # 將
U+5C08: zhuān  # 專
U+5C0A: zūn  # 尊
U+5C0B: xún,xín  # 尋
U+5C0D: duì  # 對
U+5C0E: dǎo  # 導
U+5C0F: xiǎo  # 小
U+5C11: shǎo,shao,shào  # 少
U+5C14: ěr  # 尔
U+5C16: jiān  # 尖
U+5C18: chén  # 尘
U+5C1A: shàng,shang  # 尚
U+5C1D: cháng  # 尝
U+5C24: yóu  # 尤
U+5C31: jiù  # 就
U+5C38: shī  # 尸
U+5C3A: chǐ  # 尺
U+5C3D: jǐn,jìn  # 尽
U+5C3E: wěi  # 尾
U+5C3F: niào  # 尿
U+5C40: jú  # 局
U+5C41: pì  # 屁
U+5C42: céng  # 层
U+5C45: jū  # 居
U+5C46: jiè  # 屆
U+5C48: qū,qu  # 屈
U+5C49: ti  # 屉
U+5C4A: jiè  # 届
U+5C4B: wū  # 屋
U+5C4E: shǐ  # 屎
U+5C4F: píng  # 屏
U+5C51: xiè  # 屑
U+5C55: zhǎn,zhan  # 展
U+5C5C: ti  # 屜
U+5C5E: shǔ  # 属
U+5C60: tú  # 屠
U+5C64: céng  # 層
U+5C6C: shǔ  # 屬
U+5C71: shān  # 山
U+5C79: yì  # 屹
U+5C7F: yǔ  # 屿
U+5C81: suì  # 岁
U+5C82: qǐ  # 岂
U+5C96: qū  # 岖
U+5C97: gǎng,gāng  # 岗
U+5C9B: dǎo  # 岛
U+5CA1: gāng  # 岡
U+5CA9: yán  # 岩
U+5CAD: lǐng  # 岭
U+5CB8: àn  # 岸
U+5CE1: xiá  # 峡
U+5CE6: luán  # 峦
U+5CE8: é  # 峨
U+5CED: qiào  # 峭
U+5CF0: fēng  # 峰
U+5CF6: dǎo  # 島
U+5CFB: jùn  # 峻
U+5CFD: xiá  # 峽
U+5D07: chóng  # 崇
U+5D0E: qí  # 崎
U+5D16: yá  # 崖
U+5D17: gǎng,gāng  # 崗
U+5D29: bēng  # 崩
U+5D2D: zhǎn  # 崭
U+5D3D: zǎi  # 崽
U+5D4C: qiàn  # 嵌
U+5D84: zhǎn  # 嶄
U+5D87: qū  # 嶇
